write_candidate_id,source_adapter_item_id,supplier_code,material_code,description,unit,quantity,unit_price,amount,currency,page_number,write_key,human_decision,human_note,proposed_action
WRITE_CANDIDATE_0001,PROFILE_20260710_001_ITEM_0001,CHINT,NXM-63S,MCCB Chint NXM-63S 3P 25÷63 25,cái,1.0,800000,800000.0,VND,3,CHINT|NXM-63S|P3|800000|MCCBCHINTNXM63S3P256325,APPROVE,,INSERT_CANDIDATE
WRITE_CANDIDATE_0002,PROFILE_20260710_001_ITEM_0002,CHINT,NXM-125S,MCCB Chint NXM-125S 3P 80÷125 25,cái,1.0,860000,860000.0,VND,3,CHINT|NXM-125S|P3|860000|MCCBCHINTNXM125S3P801252,APPROVE,,INSERT_CANDIDATE
WRITE_CANDIDATE_0003,PROFILE_20260710_001_ITEM_0003,CHINT,NXM-250S,"MCCB Chint NXM-250S 3P 160,200,250 35",cái,1.0,1400000,1400000.0,VND,3,CHINT|NXM-250S|P3|1400000|MCCBCHINTNXM250S3P160200,APPROVE,,INSERT_CANDIDATE
