--- LS Page 3 Word Coords ---
  3P: x0=70.51, x1=78.3, top=149.31, bottom=156.62
  6-10-16-20-25-32A: x0=147.59, x1=205.18, top=149.31, bottom=156.62
  6KA: x0=224.75, x1=238.93, top=149.31, bottom=156.62
  406,000: x0=252.95, x1=276.99, top=149.31, bottom=156.62
  LB50HW: x0=299.05, x1=327.49, top=149.31, bottom=156.62
  1P+N: x0=329.15, x1=346.41, top=149.31, bottom=156.62
  6-10-16-20-25-32A: x0=408.57, x1=466.16, top=149.31, bottom=156.62
  10KA: x0=495.8, x1=513.72, top=149.31, bottom=156.62
  1,260,000: x0=525.25, x1=554.76, top=149.31, bottom=156.62
  LA63N: x0=46.68, x1=68.76, top=164.67, bottom=171.98
  3P: x0=70.51, x1=78.3, top=164.67, bottom=171.98
  40-50-63A: x0=160.31, x1=192.47, top=164.67, bottom=171.98
  6KA: x0=224.75, x1=238.93, top=164.67, bottom=171.98
  415,000: x0=252.95, x1=276.99, top=164.67, bottom=171.98
  LB50HW: x0=299.05, x1=327.49, top=164.67, bottom=171.98
  1P+N: x0=329.15, x1=346.41, top=164.67, bottom=171.98
  40-50A: x0=426.25, x1=448.69, top=164.67, bottom=171.98
  10KA: x0=495.8, x1=513.72, top=164.67, bottom=171.98
  1,260,000: x0=525.25, x1=554.76, top=164.67, bottom=171.98
  LA63N: x0=46.68, x1=68.76, top=180.03, bottom=187.34
  4P: x0=70.51, x1=78.3, top=180.03, bottom=187.34
  6-10-16-20-25-32A: x0=147.59, x1=205.18, top=180.03, bottom=187.34
  6KA: x0=224.75, x1=238.93, top=180.03, bottom=187.34
  590,000: x0=252.95, x1=276.99, top=180.03, bottom=187.34
  LB63HW: x0=299.05, x1=327.49, top=180.03, bottom=187.34
  3P+N: x0=329.15, x1=346.41, top=180.03, bottom=187.34
  6-10-16-20-25-32A: x0=408.57, x1=466.16, top=180.03, bottom=187.34
  10KA: x0=495.8, x1=513.72, top=180.03, bottom=187.34
  5,500,000: x0=525.25, x1=554.76, top=180.03, bottom=187.34
  LA63N: x0=46.68, x1=68.76, top=195.39, bottom=202.7
  4P: x0=70.51, x1=78.3, top=195.39, bottom=202.7
  40-50-63A: x0=160.31, x1=192.47, top=195.39, bottom=202.7
  6KA: x0=224.75, x1=238.93, top=195.39, bottom=202.7
  674,000: x0=252.95, x1=276.99, top=195.39, bottom=202.7
  LB63HW: x0=299.05, x1=327.49, top=195.39, bottom=202.7
  3P+N: x0=329.15, x1=346.41, top=195.39, bottom=202.7
  40-63A: x0=426.25, x1=448.69, top=195.39, bottom=202.7
  10KA: x0=495.8, x1=513.72, top=195.39, bottom=202.7
  5,500,000: x0=525.25, x1=554.76, top=195.39, bottom=202.7
  LA63H: x0=46.68, x1=68.76, top=210.75, bottom=218.06
  1P: x0=70.42, x1=78.21, top=210.75, bottom=218.06
  6-10-16-20-25-32A: x0=147.58, x1=205.16, top=210.75, bottom=218.06
  10KA: x0=222.83, x1=240.67, top=210.75, bottom=218.06
  166,000: x0=252.93, x1=276.97, top=210.75, bottom=218.06
  LA63H: x0=46.68, x1=68.76, top=226.11, bottom=233.42
  1P: x0=70.42, x1=78.21, top=226.11, bottom=233.42
  40-50-63A: x0=160.29, x1=192.45, top=226.11, bottom=233.42
  10KA: x0=222.83, x1=240.75, top=226.11, bottom=233.42
  192,000: x0=252.93, x1=277.04, top=226.11, bottom=233.42
  LA63H: x0=46.68, x1=68.76, top=241.47, bottom=248.78
