final_plan_item_id,write_candidate_id,supplier_code,material_code,description,unit,quantity,unit_price,amount,final_planned_action,action_source,risk_level
PLAN_ITEM_0001,WRITE_CANDIDATE_0001,CHINT,NXM-63S,MCCB Chint NXM-63S 3P 25÷63 25,cái,1.0,800000,800000.0,PLAN_INSERT,master_match,LOW
PLAN_ITEM_0002,WRITE_CANDIDATE_0002,CHINT,NXM-125S,MCCB Chint NXM-125S 3P 80÷125 25,cái,1.0,860000,860000.0,PLAN_INSERT,master_match,LOW
PLAN_ITEM_0003,WRITE_CANDIDATE_0003,CHINT,NXM-250S,"MCCB Chint NXM-250S 3P 160,200,250 35",cái,1.0,1400000,1400000.0,PLAN_INSERT,master_match,LOW
