item_id,supplier_code,material_code,description,unit,quantity,unit_price,amount,currency,page_number,human_decision,human_note,write_key,provenance,evidence_text
PROFILE_20260710_001_ITEM_0001,CHINT,NXM-63S,MCCB Chint NXM-63S 3P 25÷63 25,cái,1.0,800000,800000.0,VND,3,APPROVE,,CHINT|NXM-63S|P3|800000|MCCBCHINTNXM63S3P256325,"Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler","25÷63 25 NXM-63S 800,000"
PROFILE_20260710_001_ITEM_0002,CHINT,NXM-125S,MCCB Chint NXM-125S 3P 80÷125 25,cái,1.0,860000,860000.0,VND,3,APPROVE,,CHINT|NXM-125S|P3|860000|MCCBCHINTNXM125S3P801252,"Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler","80 ÷ 125 25 NXM-125S 860,000"
PROFILE_20260710_001_ITEM_0003,CHINT,NXM-250S,"MCCB Chint NXM-250S 3P 160,200,250 35",cái,1.0,1400000,1400000.0,VND,3,APPROVE,,CHINT|NXM-250S|P3|1400000|MCCBCHINTNXM250S3P160200,"Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler","160,200,250 35 NXM-250S 1,400,000"
